image_name,angry,disgust,fear,happy,sad,surprise,neutral,sum,positive,negative,outcome
frame_E_4600.jpg,0.08,0.0,0.05,0.0,0.28,0.0,0.59,1.0,0.0,0.41000000000000003,NT
frame_E_4625.jpg,0.36,0.0,0.04,0.0,0.12,0.0,0.47,0.99,0.0,0.52,NT
frame_E_4631.jpg,0.06,0.0,0.15,0.0,0.64,0.02,0.13,1.0,0.02,0.85,NG
frame_E_4635.jpg,0.2,0.0,0.28,0.17,0.13,0.04,0.18,1.0,0.21000000000000002,0.6100000000000001,PS
frame_E_4640.jpg,0.03,0.0,0.14,0.0,0.15,0.0,0.68,1.0,0.0,0.32,NT
frame_E_4671.jpg,0.09,0.0,0.06,0.01,0.05,0.01,0.8,1.02,0.02,0.2,NT
frame_E_4702.jpg,0.67,0.0,0.04,0.07,0.19,0.0,0.02,0.99,0.07,0.9000000000000001,NG
frame_E_4715.jpg,0.09,0.0,0.31,0.06,0.52,0.0,0.02,1.0,0.06,0.92,NG
frame_E_4735.jpg,0.48,0.0,0.11,0.11,0.18,0.01,0.12,1.0099999999999998,0.12,0.77,NG
frame_E_4749.jpg,0.56,0.0,0.05,0.06,0.31,0.0,0.03,1.0100000000000002,0.06,0.9200000000000002,NG
frame_E_4755.jpg,0.24,0.0,0.08,0.0,0.51,0.01,0.17,1.01,0.01,0.8300000000000001,NG
frame_E_4766.jpg,0.4,0.0,0.13,0.0,0.12,0.03,0.33,1.01,0.03,0.65,NG
frame_E_4777.jpg,0.07,0.0,0.11,0.0,0.05,0.08,0.7,1.01,0.08,0.22999999999999998,NT
frame_E_4797.jpg,0.12,0.0,0.66,0.0,0.03,0.16,0.03,1.0,0.16,0.81,NG
frame_E_4820.jpg,0.04,0.0,0.14,0.0,0.34,0.01,0.47,1.0,0.01,0.52,NT
frame_E_4837.jpg,0.12,0.0,0.17,0.06,0.25,0.01,0.4,1.0100000000000002,0.06999999999999999,0.54,NG
frame_E_4842.jpg,0.04,0.01,0.11,0.01,0.48,0.02,0.34,1.01,0.03,0.64,NG
frame_E_4849.jpg,0.08,0.0,0.06,0.01,0.16,0.02,0.68,1.0100000000000002,0.03,0.30000000000000004,NT
frame_E_4858.jpg,0.19,0.0,0.31,0.05,0.24,0.03,0.19,1.01,0.08,0.74,NG
frame_E_4932.jpg,0.3,0.0,0.06,0.0,0.25,0.0,0.38,0.99,0.0,0.61,NG
frame_E_4939.jpg,0.88,0.0,0.03,0.0,0.06,0.0,0.02,0.99,0.0,0.97,NG
frame_E_4945.jpg,0.09,0.0,0.04,0.01,0.2,0.08,0.58,1.0,0.09,0.33,NT
frame_E_4946.jpg,0.27,0.01,0.15,0.21,0.13,0.0,0.23,1.0,0.21,0.56,PS
frame_E_4984.jpg,0.19,0.0,0.06,0.0,0.56,0.0,0.18,0.99,0.0,0.81,NG
